anchorage_id,anchorage_name,anchorage_sublabel,lat,lon,total_visits,top_destination,iso3,distance_from_shore_m,dock
89e5b005,DUTCH BOAT YARD,JAMESTOWN,41.49630856314572,-71.39084153550783,365,RST S,USA,1000,TRUE
89ba9ad7,E BGRAND A,NA,37.005642623928296,-76.31493485817434,465,E BGRAND A,USA,0,TRUE
89ba713b,EAST RIVER,BP TKY,37.4071521562955,-76.34910332189146,98,BP TKY,USA,0,TRUE
47c8a3ad,ENKHUIZEN,NA,52.704710191911566,5.300956495721814,19999,ENKHUIZEN,NLD,1000,TRUE
0d2f293f,ESP-165,MUROS,42.75315738533406,-9.076378362332353,30,ROTTERDAM,ESP,0,TRUE
1299124b,ESP-181,IBIZA,39.03699754839308,1.6390104643258223,113,IBIZA,ESP,0,TRUE
0c6a9ffd,ESP-23,LOS CRISTIANOS,28.039198032819712,-16.53841460327487,27,LOS CRISTIANOS,ESP,0,TRUE
0d2e7a53,ESP-242,BF,43.379797465284646,-8.34778612501493,24,BF,ESP,0,TRUE
0d2e7b77,ESP-242,NA,43.36732989405221,-8.384549252588425,2580,LA CORUNA,ESP,1000,TRUE
0c40808d,ESP-45,MOGAN GRAN CANARIA,27.814224513311377,-15.761639676684025,111,MOGAN GRAN CANARIA,ESP,2000,TRUE
0c463735,ESP-81,NA,28.858548839456027,-13.823321048493023,84,BCITYX00001,ESP,0,TRUE
8c12eb77,FALMOUTH,NA,17.00878148977287,-61.781375840157594,72,ANTIGUA,ATG,0,TRUE
8c12eb79,FALMOUTH,NA,17.009616752097852,-61.78312196696555,124,ANTIGUA,ATG,0,TRUE
8c12eb7b,FALMOUTH,NA,17.01137763439576,-61.78337782729885,379,ANTIGUA,ATG,0,TRUE
8c12eb71,FALMOUTH,NA,17.01213684555547,-61.778300965975404,2635,ANTIGUA,ATG,0,TRUE
8c12eb0f,FALMOUTH,NA,17.008475745993746,-61.76411533798606,3028,ANTIGUA,ATG,0,TRUE
8c12eb09,FALMOUTH,NA,17.005372930859114,-61.76231529927162,3860,ANTIGUA,ATG,0,TRUE
8c12eb13,FALMOUTH,NA,17.014306907962506,-61.77039096404649,843,ANTIGUA,ATG,0,TRUE
8c12eb73,FALMOUTH,NA,17.012599372372303,-61.7725481796474,6690,ANTIGUA,ATG,0,TRUE
8c12eb6d,FALMOUTH,NA,17.016607330097997,-61.77383354581281,2282,ANTIGUA,ATG,0,TRUE
8c12eb6f,FALMOUTH,NA,17.01628348790308,-61.778213272846834,276,ANTIGUA,ATG,0,TRUE
8c12eb6b,FALMOUTH,NA,17.020865137740632,-61.7758964326742,1845,ANTIGUA,ATG,0,TRUE
8c12eb9d,FALMOUTH,NA,17.002811134558172,-61.780553767884385,72,FALMOUTH HARBOUR,ATG,2000,TRUE
486b31dd,FALMOUTH,NA,50.01409277554387,-5.054218749929568,22,FALMOUTH,GBR,3000,FALSE
4874f4e1,FAWLEY,NA,50.630752048186686,-1.0767655741014481,170,FAWLEY,GBR,5000,FALSE
48747aa1,FAWLEY MARINE TERMINAL,NA,50.834246675194514,-1.3231124436604227,3518,FAWLEY,GBR,1000,TRUE
4874f377,FAWLEY UK,NA,50.57794240882535,-1.057728648563064,25,FAWLEY UK,GBR,9000,FALSE
0d1b29a9,FERRAGUDO,NA,37.11192348730619,-8.52374122325335,789,BM,PRT,0,TRUE
8c475107,FOR ORDERS,NA,13.126821781727031,-61.19147065797361,377,FOR ORDERS,VCT,0,TRUE
8c475109,FOR ORDERS,NA,13.127507454181485,-61.1908997627146,107,FOR ORDERS,VCT,0,TRUE
8c38804b,FOR ORDERS,NA,12.635323374201072,-61.353308513626935,245,FOR ORDERS,VCT,4000,TRUE
8c6aa721,FORT DE FRANCE,NA,14.602530289207866,-61.06503079252597,790,FORT DE FRANCE,MTQ,0,TRUE
8c6aa725,FORT DE FRANCE,NA,14.59838044983373,-61.06089736755365,928,FORT DE FRANCE,MTQ,0,TRUE
8c6aa77f,FORT DE FRANCE,NA,14.570245853764654,-61.091877077992415,357,FORT DE FRANCE,MTQ,1000,FALSE
8c401d7d,FORT DE FRANCE,NA,14.566529386219882,-61.101385908396985,34,FORT DE FRANCE,MTQ,1000,FALSE
8c6aa781,FORT DE FRANCE,NA,14.570319702775313,-61.0957788066397,85,FORT DE FRANCE,MTQ,1000,FALSE
8c6aa731,FORT DE FRANCE,NA,14.593198747491506,-61.056345181382895,331,FORT DE FRANCE,MTQ,1000,TRUE
8c401d79,FORT DE FRANCE,NA,14.561908075455966,-61.095676198852864,153,FORT DE FRANCE,MTQ,1000,FALSE
07c7377f,FORTALEZA,FORTALEZA,-3.670042685037534,-38.48732928205145,26,FORTALEZA,BRA,4000,FALSE
8f69e519,FRENCH HARBOR,FRENCH HARBOR,16.35501522023442,-86.44150046849076,208,C ANTWERP,HND,2000,TRUE
8f69e523,FRENCH HARBOR,FRENCH HARBOR,16.35715411656336,-86.43858889103326,47,SOUTH,HND,2000,TRUE
8f69e595,FRENCH HARBOR,NA,16.337151949365698,-86.47676300734165,335,ROATAN HONDURAS,HND,3000,TRUE
0c605ffd,FUNCHAL,NA,32.64212875185821,-16.915231660219327,4721,FUNCHAL,PRT,0,TRUE
8fab60a7,GAMBOA,PANAMA CANAL,9.119930711121949,-79.74291168799344,53,CORTE CULEBRA,PAN,0,TRUE
8f258639,GEORGE TOWN,GEORGETOWN,19.30195660163328,-81.35858720985321,206,GRAND CAYMAN,CYM,0,TRUE
8dafef9b,GEORGETOWN,NA,6.805367668203674,-58.17320503699096,223,GEORGETOWN,GUY,0,TRUE
8dafef9f,GEORGETOWN,NA,6.809348167170069,-58.169141803980345,1371,GEORGETOWN,GUY,0,TRUE
8dafef6d,GEORGETOWN,NA,6.8226961091602645,-58.16800887043756,440,GEORGETOWN,GUY,0,TRUE
8dafef73,GEORGETOWN,NA,6.8184178045120385,-58.169822732662794,196,GEORGETOWN,GUY,0,TRUE
05b0f309,GEORGETOWN,NA,-7.920126618119334,-14.412420366362918,52,AD HAVEN,SHN,0,TRUE
0d51c89f,GETARIA,NA,43.30550843236033,-2.2007889555773694,2319,BILBAO,ESP,1000,TRUE
45db4929,GIBOSTAD,NA,69.35421274114447,18.081143312423887,354,GIBOSTAD,NOR,1000,TRUE
89e3252f,GLOUCESTER,NA,42.59461654357436,-70.66040731487887,90,GLOUCESTER,USA,0,TRUE
89e33b29,GLOUCESTER,NA,42.58288424043171,-70.67045472660595,105,C SPAIN,USA,1000,TRUE
8eb2d5d1,GRAND TURK,NA,21.43613598884504,-71.15216514330001,80,GRAND TURK ISLAND,TCA,0,TRUE
8c6b54b1,GRAND-BOURG,NA,15.880609906638544,-61.31683935196091,622,GRAND BOURG,GLP,2000,TRUE
8c386cbf,GRENADA,NA,12.31227355960298,-61.588426518146065,35,GRENADA,GRD,0,TRUE
8c38231d,GRENADA,NA,12.116307483362588,-61.75163520889743,25,GRENADA,GRD,0,TRUE
8c387aa3,GRENADA,NA,12.456378648806636,-61.491496708581764,502,GRENADA,GRD,0,TRUE
8c387d89,GRENADA,NA,12.604337004363138,-61.45122854287077,1918,GRENADA,VCT,0,TRUE
8c38826b,GRENADINES,NA,12.70217500305762,-61.34951148420891,115,GRENADINES,VCT,0,TRUE
